"Absolute Time","JPetStore_Browsecategories_T01_Launch","JPetStore_Browsecategories_T02_Selectcategory","JPetStore_Browsecategories_T03_SelectProduct","JPetStore_Login_T01_Launch","JPetStore_Login_T02_Login","JPetStore_Login_T03_Signout","JPetStore_PlaceOrder_T01_Launch","JPetStore_PlaceOrder_T02_Login","JPetStore_PlaceOrder_T03_Selectcategory","JPetStore_PlaceOrder_T04_SelectProduct","JPetStore_PlaceOrder_T05_ViewItem","JPetStore_PlaceOrder_T06_AddtoCart","JPetStore_PlaceOrder_T07_checkout","JPetStore_PlaceOrder_T08_PaymentDetails","JPetStore_PlaceOrder_T09_PlaceOrder","JPetStore_PlaceOrder_T10_Signout","JPetStore_SearchProduct_T01_Launch","JPetStore_SearchProduct_T02_Login","JPetStore_SearchProduct_T03_Selectcategory","JPetStore_SearchProduct_T04_SelectProduct","JPetStore_SearchProduct_T05_ViewItem","JPetStore_SearchProduct_T06_Signout"
"02:55:59","0.428","0.053","0.095","0.067","0.172","0.044","0.036","0.05","0.04","0.05","0.169","0.243","0.112","0.13","0.194","","0.122","0.377","0.041","0.084","0.114",""
"02:57:03","0.024","0.039","0.079","0.016","0.054","0.039","0.024","0.071","0.043","0.062","0.084","0.093","0.039","0.068","0.065","","0.047","0.06","0.072","0.059","0.061",""
"02:58:07","0.027","0.039","0.059","0.05","0.047","0.026","0.018","0.036","0.035","0.032","0.053","0.103","0.038","0.063","0.116","","0.034","0.035","0.034","0.033","0.074",""
"02:59:11","0.024","0.03","0.033","0.012","0.047","0.021","0.018","0.035","0.032","0.055","0.031","0.049","0.022","0.041","0.048","","0.024","0.043","0.041","0.046","0.055",""
"03:00:15","","0.031","0.033","0.053","0.046","0.05","","","0.029","0.029","0.013","","","0.02","0.035","","","0.037","0.021","0.027","0.055",""
"03:01:19","","0.027","0.03","0.04","0.044","0.022","","","","","0.018","","","","","","","","0.036","0.026","0.037",""
"03:02:23","","0.03","0.031","0.035","0.048","0.023","","","0.018","0.02","0.031","","","","","","","","0.037","0.028","0.047",""
"03:03:27","","0.031","0.029","0.035","0.051","0.034","","","0.025","0.022","0.044","","","","","","","","0.033","0.027","0.033",""
"03:04:31","","0.031","0.03","0.031","0.034","0.035","","","","","","","","","","","","","0.025","0.044","0.047",""
"03:05:35","","0.031","0.028","0.035","0.07","0.023","","","0.035","0.038","0.042","","","","","","","","0.023","0.029","0.029",""
"03:06:39","","0.025","0.029","0.035","0.061","0.02","","","0.017","0.009","0.039","","","","","","","","0.021","0.02","0.037",""
"03:07:43","","0.031","0.047","0.052","0.039","0.039","","","","","","","","","","","","","0.032","0.03","0.036",""
"03:08:47","","0.029","0.019","0.028","0.04","0.021","","","0.065","0.025","0.029","","","","","","","","0.026","0.026","0.034",""
"03:09:51","","0.026","0.038","0.041","0.015","0.024","","","0.015","0.029","0.047","","","","","","","","0.025","0.021","0.027",""
"03:10:55","","0.045","0.024","0.037","0.1","0.025","","","","","","","","","","","","","0.024","0.028","0.044",""
"03:11:59","","0.027","0.03","0.025","0.04","0.045","","","0.022","0.028","0.057","","","","","","","","0.022","0.032","0.024",""
"03:13:03","","0.027","0.024","0.04","0.045","0.023","","","","","","","","","","","","","0.026","0.039","0.026",""
"03:14:07","","0.033","0.028","0.039","0.033","0.042","","","0.054","0.021","0.025","","","","","","","","0.032","0.021","0.035",""
"03:15:11","","0.03","0.021","0.043","0.031","0.022","","","0.01","0.013","0.013","","","","","","","","0.025","0.024","0.038",""
"03:16:15","","0.042","0.02","0.026","0.034","0.021","","","","","","","","","","","","","0.014","0.037","0.044",""
"03:17:19","","0.022","0.029","0.033","0.05","0.021","","","0.05","0.043","0.063","","","","","","","","0.032","0.03","0.034",""
"03:18:23","","0.024","0.03","0.045","0.047","0.018","","","0.019","0.017","0.034","","","","","","","","0.039","0.025","0.04",""
"03:19:27","","0.026","0.029","0.035","0.043","0.027","","","","","","","","","","","","","0.019","0.023","0.039",""
"03:20:31","","0.023","0.018","0.02","0.03","0.038","","","0.023","0.046","0.019","","","","","","","","0.054","0.014","0.027",""
"03:21:35","","0.025","0.012","0.028","0.018","0.027","","","0.016","0.017","0.006","","","","","","","","0.016","0.02","0.03",""
"03:22:39","","0.028","0.023","0.041","0.067","0.014","","","0.022","","","","","","","","","","0.028","0.031","0.043",""
"03:23:43","","0.024","0.022","0.033","0.045","0.027","","","0.031","0.036","0.021","","","","","","","","0.028","0.028","0.032",""
"03:24:47","","0.025","0.032","0.023","0.045","0.029","","","","","","","","","","","","","0.022","0.014","0.029",""
"03:25:51","","0.051","0.025","0.048","0.064","0.017","","","0.031","0.045","0.013","","","","","","","","0.012","0.023","0.037",""
"03:26:55","","0.02","0.025","0.025","0.024","0.02","","","0.032","0.006","0.038","","","","","","","","0.035","0.025","0.04",""
"03:27:59","","0.019","0.028","0.025","0.023","0.034","","","","","","","","","","","","","0.03","0.034","0.036",""
"03:29:03","","0.02","0.029","0.025","0.048","0.031","","","0.028","0.015","0.054","","","","","","","","0.038","0.021","0.028",""
"03:30:07","","0.036","0.028","0.038","0.051","0.054","","","0.024","0.014","0.012","","","","","","","","0.022","0.027","0.049","0.02"
"03:31:11","","0.029","0.017","0.026","0.017","0.014","","","","","","","","","","0.034","","","0.015","0.023","0.059","0.028"
"03:32:15","","","","","","","","","","","","","","","","0.027","","","","","","0.042"
